Artists,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Fall Out Boy ,Stay Frosty Royal Milk Tea,0hfByzDRgR10HDLqm89lA9,0.461,0.869,1,-4.672,0,0.0731,0.000616,8.19e-06,0.25,0.649,145.919
Empire of the Sun ,High And Low,2Q7PDjPz7h559wBF97lO07,0.512,0.768,1,-4.673,1,0.045,0.0213,3.2e-06,0.0918,0.322,126.907
Mac Miller ,Doors,0cDvVjiJ8iKCYcypWJ71ay,0.497,0.177,2,-15.09,0,0.0392,0.916,5.41e-06,0.343,0.221,134.115
Peter J. Wilhousky ,Carol of the Bells  Voice,7Hf0ROGQxHYig3LDB8uqmR,0.568,0.232,7,-19.841,0,0.0663,0.993,1.17e-05,0.0967,0.248,95.666
Lil Wayne ,Wild Dogs,4WkYfVna9LPWvP1ieMuLQC,0.807,0.519,2,-6.489,1,0.337,0.0403,0.0,0.152,0.283,134.867
Logic ,Innermission,1zucHJN4WKHIzSL4FyiJw9,0.741,0.759,8,-4.387,1,0.21,0.58,0.0,0.103,0.49,95.101
Tee Grizzley ,Lions & Eagles,2jZx9wy7JVYYF2Yxe6fUNl,0.786,0.739,1,-3.51,1,0.286,0.34,0.0,0.18,0.297,96.075
Wrabel ,11 Blocks,7nZBRPj89rgeZ5eBLp2J7P,0.553,0.711,0,-4.275,1,0.0378,0.0216,0.0,0.142,0.293,99.515
Post Malone ,Waiting For A Miracle,2GUSz3vtf8jhVXri1CTrQX,0.491,0.278,6,-11.29,1,0.0424,0.8,1.99e-06,0.111,0.0718,127.136
Selena Gomez ,Fun,64kfyGcf5dvbw92Vv4THCj,0.863,0.419,11,-10.144,0,0.437,0.076,4.92e-05,0.151,0.523,113.866
Joji ,Mr. Hollywood,4OxQ9sBdJCndBzQNuGorr7,0.717,0.442,6,-8.045,1,0.0415,0.691,5.92e-05,0.0811,0.245,115.01
SZA ,Ghost in the Machine,4h5x3XHLVYFJaItKuO2rhy,0.624,0.433,6,-9.572,1,0.0467,0.837,0.0294,0.113,0.589,124.979
Lil Baby ,My Jeans (Lil Baby & Gunna feat. Young Thug),4T7cJdrTRqOBESPYfvfj2x,0.435,0.715,11,-5.869,1,0.186,0.119,0.0,0.531,0.382,100.576
BTS ,Skit,4Ut6UU8Yyihz1jCZWSCQpu,0.598,0.356,9,-18.009,1,0.802,0.912,0.0,0.913,0.817,121.045
Avicii ,SOS,2x0RZdkZcD8QRI53XT4GI5,0.802,0.645,5,-6.181,0,0.0715,0.272,0.0,0.119,0.376,100.001
2 Chainz ,Threat 2 Society,00BNT97AtJ5aB8SSsE5xGH,0.617,0.779,1,-5.084,1,0.287,0.201,0.0,0.117,0.887,83.332
Big Sean ,Everything That's Missing,2LxudmRpMzYTsb37Oi1RWD,0.405,0.51,8,-10.343,0,0.411,0.692,2.41e-06,0.245,0.396,183.057
DJ Khaled ,Do You Mind,4VJ7mnW4wjjIgPBM6KWvPu,0.412,0.548,10,-6.981,1,0.243,0.0173,0.0,0.181,0.176,81.293
B.B. King ,Hummingbird,1hdrdqP1bcqgaeydimOOkx,0.531,0.593,0,-9.2,0,0.0382,0.533,4.78e-05,0.0446,0.647,162.34
Dierks Bentley ,"Woman, Amen",3nBXOlFTADNvG9nkqy2O2W,0.484,0.804,5,-5.889,1,0.0912,0.000837,9.29e-06,0.17,0.391,119.838
Sam Smith ,Good Thing,6zHecELSAUYPCmYY8qHuOy,0.615,0.311,1,-10.708,0,0.0529,0.634,0.00267,0.336,0.27,129.634
Playboi Carti ,Meh,15JRvf02KKGHKgC31jrpuh,0.764,0.512,1,-6.814,1,0.3,0.00158,0.0,0.0899,0.586,81.541
blackbear ,i feel bad,1OkIpW255qLxswGyjgUL5x,0.637,0.785,9,-3.382,0,0.0512,0.0201,0.0,0.333,0.923,144.053
Calvin Harris ,Holiday,08Wc3X7XNSyF8WYBPt2L8E,0.836,0.769,6,-2.334,0,0.0773,0.472,0.00157,0.0804,0.585,103.991
A$AP Ferg ,Trap And A Dream,7gbs274CmEorDmQuOYzaud,0.611,0.804,1,-5.633,1,0.276,0.041,0.0,0.418,0.374,162.087
Kanye West ,I Love Kanye,5CGS4UovzA7ftCJkLVXQju,0.756,0.374,5,-7.966,1,0.741,0.594,0.0,0.217,0.966,80.326
Logic ,The Jam,4dVJyyeCPEONr44NIrXvie,0.814,0.589,10,-7.762,0,0.324,0.0145,0.0,0.114,0.375,149.08
Lil Peep ,Benz Truck  гелик,2IXjLCG6L2xi1RFCWiKSrl,0.602,0.762,2,-6.149,0,0.0347,0.0498,0.00819,0.121,0.113,92.02
Doja Cat ,You Right,0k4d5YPDr1r7FX77VdqWez,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986
Sech ,La Luz,5zj8WNkBrEzlI5FKeYV4ol,0.665,0.697,9,-4.819,0,0.154,0.427,1.39e-05,0.599,0.556,94.053
Judy Garland ,"Have Yourself A Merry Little Christmas  ""Meet Me In St. Louis"" Original Cast Recording",1BMmB1L5PbedWBAFl3xf27,0.286,0.0635,6,-18.507,1,0.04,0.91,6.37e-05,0.373,0.163,104.228
2 Chainz ,Riverdale Rd,5xkTHyhR9kCuFvqPkjgpId,0.866,0.652,11,-4.213,1,0.239,0.0179,0.0,0.728,0.222,125.101
Bring Me The Horizon ,Obey,6MD6xpFK4cfquxRqXxqwjq,0.462,0.99,1,-3.175,0,0.211,0.000103,0.0,0.374,0.204,137.061
The Kid LAROI ,Fade Away,32ypPhtgTaETvFn3ZIHXTW,0.726,0.414,9,-12.296,0,0.269,0.406,0.0,0.0713,0.47,150.009
Beck ,Cycle,3jkxfvEeHyiZU3tKmhLhLe,0.122,0.233,4,-16.169,1,0.037,0.942,0.964,0.217,0.0316,147.803
SZA ,Gone Girl,2Sjx8DWZO5zaTyTAmgo2gY,0.428,0.439,5,-7.674,1,0.0591,0.57,0.0,0.153,0.418,150.007
Selena Gomez ,Rise,3IMXLQk09YmvNb2tdT4aWk,0.652,0.902,1,-4.209,1,0.119,0.2,0.0,0.595,0.496,166.926
Lil Pump ,Whitney,2GS2KrTRKQKeK4zYW4k9V2,0.868,0.541,9,-7.584,1,0.149,0.0883,1.25e-06,0.223,0.305,140.015
21 Savage ,Whole Lot,0zcmVx57BsnlYaPu7k2e2e,0.916,0.537,6,-9.79,0,0.245,0.188,0.00285,0.115,0.223,123.021
Billie Eilish ,Lost Cause,4191RXFPa7Ge9XkA4cWlna,0.526,0.334,10,-8.491,0,0.251,0.702,0.00782,0.0586,0.522,74.966
Miley Cyrus ,Night Crawling,4U34WsyOvppOMnRfq7DuOy,0.638,0.918,11,-4.368,1,0.0382,0.0378,0.00805,0.0948,0.668,134.022
Roddy Ricch ,Peta,4bl1HBZliBuYpFZjWgefE4,0.778,0.573,10,-7.339,0,0.251,0.015,0.0,0.464,0.269,140.114
Kesha ,Let 'Em Talk,1nxufatvWIGPPBtPACXzu8,0.479,0.929,9,-3.461,1,0.141,0.0356,0.13,0.148,0.603,179.912
Netsky ,I Don’t Even Know You Anymore,5pzeevBDvU6GVXqUKoiYDX,0.709,0.784,9,-3.182,0,0.1,0.23,0.0,0.147,0.584,97.007
Kings of Leon ,Waste A Moment,5LlsD7LdSMkGV4Iu0a2Zq0,0.436,0.85,2,-4.86,1,0.0617,0.000861,0.74,0.128,0.537,152.644
Bebe Rexha ,No Broken Hearts,4qULqxfCRhJAXVc75UupQB,0.704,0.722,0,-3.524,1,0.045,0.0522,0.0,0.0645,0.675,122.094
HARDY ,"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",5Y05LYM8LhnQN78GqfjSeK,0.516,0.745,2,-8.352,1,0.0774,0.564,0.0,0.275,0.826,186.006
Pharrell Williams ,Down In Atlanta,5unjCay0kUjuej5ebn4nS4,0.851,0.819,7,-5.173,1,0.212,0.337,0.000153,0.0658,0.903,83.154
Harry Styles ,Two Ghosts,4B1rpPmQXwj78wk6aIGwwU,0.386,0.407,6,-7.095,0,0.0268,0.234,1.86e-06,0.0999,0.456,69.387
The Chainsmokers ,All We Know,2rizacJSyD9S1IQUxUxnsK,0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90.0
Russ ,GUESS WHAT,40FUPlp2KJvdHY5ABnK100,0.738,0.785,1,-10.035,1,0.272,0.0711,1.59e-05,0.117,0.357,92.008
The Weeknd ,Out of Time,2SLwbpExuoBDZBpjfefCtV,0.65,0.76,0,-4.422,0,0.0446,0.255,0.0,0.339,0.838,93.057
The 1975 ,Somebody Else,5hc71nKsUgtwQ3z52KEKQk,0.61,0.788,0,-5.724,1,0.0585,0.195,0.0142,0.153,0.472,101.045
Devin Dawson ,Christmas Time Is Here  Recorded at Sound Emporium Nashville,1dinW5tLGDdPhxtW8vMkUn,0.431,0.195,5,-13.207,1,0.0518,0.802,0.0,0.0862,0.157,80.983
Dillon Francis ,Love in the Middle of a Firefight,21AHQlJa5Q0s1Jx2PeulUD,0.486,0.739,2,-2.714,0,0.0255,0.00465,0.0,0.0428,0.274,93.984
A$AP ANT ,The God Hour,4Acntw4W2FfI7CDAIsCBjq,0.777,0.713,0,-7.481,1,0.288,0.0832,1.38e-06,0.545,0.385,129.964
A Tribe Called Quest ,The Space Program,203xmWRHAyqwW6AkGkhhVM,0.612,0.705,1,-5.898,1,0.352,0.427,0.0,0.658,0.533,101.876
Train ,Angel in Blue Jeans,2GxGYGrixbXPFojONbzdo9,0.61,0.817,0,-4.775,1,0.0331,0.0151,9.09e-06,0.0998,0.688,115.036
Nat King Cole ,Deck The Hall,0rHToGels2lt8Y0mCYoF90,0.684,0.437,9,-10.522,1,0.0491,0.742,1.58e-05,0.224,0.964,107.607
Sheck Wes ,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034
One Direction ,You & I,2afCBiru10AFckfOa49wIa,0.574,0.329,1,-6.829,1,0.0274,0.22,0.0,0.0986,0.356,130.993
Mac Miller ,Wedding,3fDmodv1uclXZZu27E0jz8,0.482,0.646,1,-6.75,1,0.386,0.722,0.0,0.377,0.35,132.551
Birdy ,Keeping Your Head Up  Don Diablo Remix; Radio Edit,7KCXA4Y1gIGDSm388m9bW1,0.639,0.931,11,-1.73,1,0.0708,0.46,0.0,0.0942,0.471,126.084
Lewis Capaldi ,Bruises,4Of7rzpRpV1mWRbhp5rAqG,0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202
Missing Seoul ,Love Is So Sweet,0Z2DbHevn9qtSKAWcYB2tM,0.76,0.811,6,-1.682,0,0.308,0.162,0.0,0.133,0.728,149.966
YG ,HANDGUN,50wkDxcIfamIajKwmgp0iB,0.843,0.546,8,-7.714,1,0.464,0.0195,0.0,0.374,0.427,159.104
Burl Ives ,Rudolph The RedNosed Reindeer,47otoIkhx3fkdivEXL5OB6,0.67,0.275,0,-12.755,1,0.0385,0.671,0.0,0.199,0.806,152.649
6ix9ine ,FEFE,43VXG87ajppI8mO1Mxo8vu,0.93,0.383,1,-9.34,1,0.409,0.0896,0.0,0.119,0.385,125.967
Lana Del Rey ,Groupie Love,03hqMhmCZiNKMSPmVabPLP,0.359,0.6,9,-7.317,1,0.0398,0.113,1.32e-06,0.0952,0.195,175.894
Lil Pump ,Smoke My Dope,6ox6GMJt3WP2QghksDa6UO,0.917,0.76,1,-3.29,1,0.38,0.0263,0.0,0.0976,0.813,136.014
Future ,200,5b06JZjts6dgyyuY1m7roq,0.84,0.65,1,-6.708,1,0.262,0.00924,0.0,0.201,0.527,145.972
Quavo ,To The Bone,4wRJHXHDJnKSPr9IVn0BFR,0.899,0.582,11,-7.275,0,0.264,0.0395,0.0,0.1,0.505,149.973
6ix9ine ,TUTU,6JgHGy8qBDy4b4v0TR6zAI,0.833,0.778,4,-5.455,0,0.0575,0.0608,0.0,0.12,0.55,120.011
Michael Bublé ,Jingle Bells,4qBejt9FeqLI9blHI1Nq1x,0.702,0.588,5,-5.914,1,0.0563,0.634,0.0,0.198,0.849,122.945
Nirvana ,Lithium,2YodwKJnbPyNKe8XXSE9V7,0.678,0.656,7,-6.41,1,0.0381,0.00174,0.0,0.0631,0.485,123.207
Future ,Outta Time,0AkKwgg6rD4p7EpDlNpSz2,0.75,0.546,6,-6.951,0,0.384,0.00597,3.18e-05,0.377,0.438,75.443
21 Savage ,1.5,2wOXxtHZgRkkrkEbKLzzqs,0.885,0.52,1,-8.353,1,0.359,0.000244,1.16e-06,0.454,0.306,84.022
SZA ,Smoking on my Ex Pack,4jTs7ny5eSRnKTzxdrFv5I,0.466,0.676,8,-8.097,1,0.38,0.241,0.00318,0.224,0.333,81.227
SZA ,Blind,2CSRrnOEELmhpq8iaAi9cd,0.461,0.279,9,-11.776,0,0.0373,0.911,0.0,0.205,0.599,114.225
Gene Autry ,Here Comes Santa Claus (Right Down Santa Claus Lane),25leEEaz1gIpp7o21Fqyjo,0.834,0.371,1,-11.99,1,0.0358,0.799,0.0,0.275,0.976,96.628
Justin Bieber ,The Christmas Song (Chestnuts Roasting On An Open Fire),3eYnKe0LhQA1B5HEkQaRTP,0.533,0.436,9,-9.542,0,0.0289,0.45,0.0,0.102,0.169,103.477
John Mayer ,New Light,4T6FWA703h6H7zk1FoSARw,0.826,0.694,7,-7.862,1,0.0315,0.316,0.0285,0.074,0.852,123.932
Mitski ,Working for the Knife,2ORVHijyYA8bAOCVaIbmdS,0.466,0.63,11,-8.115,1,0.0273,0.167,5.32e-05,0.103,0.329,82.988
Mac Miller ,Good News,1DWZUa5Mzf2BwzpHtgbHPY,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088
Swae Lee ,Someone Said,5awaEIMiJboRO7ycF6UOot,0.904,0.492,2,-9.657,1,0.155,0.00119,0.364,0.125,0.257,149.982
DJ Khaled ,I Can't Even Lie,2G60ShHRZZhqxSKbZTWdOh,0.671,0.62,2,-6.092,1,0.0536,0.0269,3.21e-06,0.189,0.226,120.079
blackbear ,top priority,3EAmqB8YX7xJEoE7dB2V4N,0.851,0.599,11,-4.863,1,0.056,0.229,0.0,0.0748,0.821,103.939
6ix9ine ,LOCKED UP PT. 2,0wHN9xMRbnlcdJNziRE5dm,0.649,0.779,7,-4.719,1,0.115,0.0332,0.0,0.299,0.503,89.978
Justin Bieber ,What Do You Mean?,4B0JvthVoAAuygILe3n4Bs,0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02
ILLENIUM ,Heavenly Side,1xddmaN7Ivc2SQ940oBskZ,0.442,0.748,2,-5.632,1,0.0538,0.0129,0.0,0.0917,0.191,134.176
DJ Khaled ,How Many Times,01atUNg2GV1EFzSSl65Nu3,0.784,0.249,3,-17.03,0,0.162,0.113,0.944,0.153,0.374,116.018
Halsey ,Nightmare,340UVheS8z3ncW9TTUhAbc,0.611,0.622,9,-5.075,0,0.0734,0.0188,0.0,0.359,0.538,146.11
N.W.A. ,Fuck Tha Police,5n8Aro6j1bEGIy7Tpo7FV7,0.859,0.75,8,-8.325,0,0.303,0.0193,0.0,0.0538,0.857,98.691
Nas ,White Label,5JoUwqXt9IPLbiJ6pXwarL,0.565,0.717,11,-4.455,0,0.331,0.475,0.0,0.193,0.341,75.505
Wiz Khalifa ,Rain,5XPNicWoJnVfrwjQnIs1p6,0.636,0.435,8,-7.577,1,0.0292,0.0613,0.0,0.289,0.083,94.025
XXXTENTACION ,Floor 555,6r7ULK6c5CLVvImjTIztl1,0.695,0.686,9,-8.147,0,0.0478,0.000424,0.0023,0.365,0.354,105.219
Young Thug ,Droppin Jewels,3q8Uyfo98yoEqByamJOIkJ,0.575,0.523,2,-10.002,0,0.506,0.489,0.0,0.0873,0.616,78.252
P!nk ,All I Know So Far,4LmN3eU1R1vVEdKuDELpGk,0.578,0.639,4,-5.749,1,0.0374,0.0586,0.0,0.0944,0.296,108.045
DJ Khaled ,LET IT GO,1cEhrSF6EylAEqdhUGuNpX,0.877,0.444,8,-7.547,1,0.172,0.24,0.0,0.169,0.658,129.06
Eminem ,Lucky You,60SdxE8apGAxMiRrpbmLY0,0.876,0.786,10,-4.884,0,0.306,0.0627,0.0,0.127,0.575,153.068
DJ ESCO ,Xotic,4VmcVEuTlYnWcc6QksaLyw,0.897,0.632,4,-6.097,0,0.296,0.0497,7.96e-06,0.111,0.499,151.99
BROCKHAMPTON ,SAN MARCOS,1Bn8jBSmtSQdvAFXU3ok1w,0.388,0.503,0,-5.628,1,0.0316,0.339,0.0,0.111,0.53,73.965
Meek Mill ,Cold Hearted II,75ld9n7watXCD0nHnE931J,0.296,0.781,6,-7.148,1,0.451,0.0377,0.0,0.805,0.367,77.27
Future ,Sorry,4CPsMAG28OgzzDk1DcOtBx,0.87,0.531,5,-6.471,1,0.0992,0.428,0.0,0.0798,0.315,100.01
Shordie Shordie ,Bitchuary,4dV3okcjbQwTcg4ObIGr4N,0.762,0.383,5,-10.098,0,0.202,0.35,0.0,0.127,0.441,92.947
The Kid LAROI ,Stay,567e29TDzLwZwfDuEpGTwo,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928
Ski Mask The Slump God ,Adults Swim,1Bp5LdIxR3XlprIigqp4en,0.894,0.529,11,-10.461,1,0.399,0.0242,0.0,0.13,0.7,144.959
Olivia Rodrigo ,favorite crime,5JCoSi02qi3jJeHdZXMmR8,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929
Lil Tjay ,Go In,4YrS33mjBWWchoLJTkAKwt,0.799,0.698,9,-5.947,0,0.169,0.125,0.0,0.0778,0.799,121.998
Bad Bunny ,Andrea,44XjoNvtwevktFKjvVe1vH,0.797,0.616,1,-10.229,0,0.375,0.762,0.000293,0.0979,0.451,103.071
Bailey Zimmerman ,Fall In Love,0rCFRyEy4WXjRXNpO80Dzs,0.524,0.643,9,-6.055,1,0.0297,0.451,0.0,0.221,0.397,135.962
2 Chainz ,4 AM,1nX9KhK3Fff27SnrIor2Yb,0.796,0.5,1,-7.21,1,0.425,0.118,0.0,0.155,0.227,75.012
Radiohead ,Daydreaming,1Rd5OVjqDAr5xC96MHt448,0.214,0.263,9,-13.207,0,0.0336,0.968,0.853,0.126,0.113,137.561
Bryson Tiller ,Inhale,0ycIrEpkyb4lrqE7M1emju,0.498,0.705,9,-8.088,0,0.392,0.321,0.000441,0.414,0.571,156.519
Muse ,Mercy,2qkmPUG7ARsRwhVICQVwQS,0.482,0.926,7,-4.789,1,0.0549,0.00952,0.0,0.311,0.371,130.007
Justin Bieber ,Sorry  Latino Remix,3grxgV6Ot8KqtysApjYLs1,0.642,0.753,0,-3.704,0,0.0454,0.146,0.0,0.299,0.495,100.075
Galantis ,Make Me Feel,1BJLlHOoRXgNJg5fMiFzJR,0.5,0.882,6,-4.103,1,0.0377,0.00761,0.0,0.187,0.191,125.856
BROCKHAMPTON ,GINGER,1Uo7reO6I2yQ1q36ZPuNf7,0.748,0.715,2,-5.137,1,0.0451,0.249,0.0369,0.164,0.226,130.087
Jack Harlow ,21C/Delta,54FJWt8YIA1IHjmUxuDxwi,0.729,0.588,6,-7.494,0,0.248,0.0132,0.000688,0.147,0.198,97.45
G,Eazy  Power,7BHEi0cFs6TVNFDvbBrAjz,0.839,0.743,2,-7.341,1,0.228,0.168,5.15e-05,0.132,0.261,97.953
Ambjaay ,Uno,3AEgic4yp82NxMWUjHtxnO,0.978,0.477,8,-8.159,1,0.155,0.000143,0.0,0.133,0.196,110.002
Ryan Adams ,Out of the Woods,4kl5l7LzhTLOO3RoUJ59ei,0.317,0.379,6,-8.815,1,0.0278,0.178,0.0031,0.0978,0.116,135.276
Cardi B ,Press,6dPyzkyZwoj9LqjQXOFdVv,0.888,0.525,1,-5.665,1,0.305,0.029,5.68e-06,0.137,0.243,133.983
Ozuna ,Del Mar,5cpJFiNwYyWwFLH0V6B3N8,0.759,0.636,6,-5.585,1,0.0369,0.0224,0.000143,0.166,0.536,109.976
G,Eazy  What If,7swwxTs8Ra32hrsnWWgIyZ,0.519,0.528,4,-8.419,0,0.0912,0.134,0.0,0.174,0.163,129.836
G,Eazy  Of All Things,26jrY21NkSefFPxpndtu4z,0.738,0.483,9,-10.664,1,0.331,0.213,0.0,0.197,0.59,96.978
Keyliu ,Life Is a Puzzle Solve It,2nKyegvLKCh332E1iQYW7m,0.729,0.598,2,-7.343,1,0.0308,0.002,0.061,0.0864,0.516,129.999
A Boogie Wit da Hoodie ,No Promises,2BJpuAoDeQ1QuPvnryfAWK,0.759,0.646,5,-7.815,0,0.304,0.0164,0.0,0.137,0.242,145.005
Lil Peep ,IDGAF,6zZhlOWizcEG1T7zsTdI6N,0.615,0.66,9,-5.55,0,0.032,0.0298,0.0,0.106,0.185,115.037
Kanye West ,24,68RhNM8ehkarnEKnCkqlsp,0.386,0.534,5,-6.086,0,0.0389,0.129,0.0,0.351,0.343,110.057
One Direction ,Kiss You,4My8w8AA1JpG6E5SiAPvJL,0.637,0.93,4,-2.632,1,0.0511,0.0177,0.0,0.452,0.886,90.014
Miguel ,Sky Walker,5WoaF1B5XIEnWfmb5NZikf,0.674,0.506,6,-10.532,1,0.0434,0.173,0.0,0.0866,0.183,145.965
Young Thug ,Climax,4N9QsmvQJcGwJHAmDmBttU,0.829,0.362,0,-11.546,0,0.231,0.0608,0.0,0.135,0.369,122.912
The Chainsmokers ,Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803
Ella Fitzgerald ,Sleigh Ride,4ukUoXLuFzMixyZyabSGc4,0.508,0.287,1,-12.472,1,0.0523,0.764,0.0,0.153,0.644,154.759
OneRepublic ,Wild Life,6oaQuXiRKqQq9ITJBV1XmC,0.498,0.764,2,-8.096,1,0.0382,0.0118,0.0104,0.156,0.0557,115.975
Rick Ross ,Sorry,6adehXz8vMUmXWJhEIdE6e,0.616,0.642,8,-7.274,0,0.0935,0.137,0.0,0.0958,0.686,82.75
Imagine Dragons ,I’ll Make It Up To You,0FfX0nofboxZjP0diT1eFv,0.328,0.674,7,-7.488,1,0.105,0.00767,0.0398,0.29,0.129,177.007
NF ,Hate Myself,5PdEiev2BkKiZtZFcNKjfM,0.533,0.84,9,-5.283,0,0.167,0.234,0.0,0.114,0.361,116.882
Trippie Redd ,Emani Interlude,2zPjy2qSgfQPBcdBztVmMe,0.468,0.523,8,-7.117,0,0.049,0.00602,0.00397,0.154,0.255,129.794
Prince ,Stare,1CUbnAid0Xkx68x9bptSvU,0.952,0.574,4,-5.887,0,0.162,0.166,0.000455,0.0935,0.962,130.788
Chris Jedi ,Ahora Dice,5lhcHMDQpNwhM62lSOrvLf,0.704,0.691,6,-5.414,1,0.158,0.255,0.0,0.129,0.427,143.982
SZA ,Too Late,4rAg5bbrdZX00mXXhLvYXj,0.445,0.681,11,-7.558,1,0.0829,0.781,0.000789,0.386,0.351,127.541
Young Thug ,Gangster Shit,4AwJDh8ErDvjeiswR41DKM,0.781,0.57,1,-5.555,0,0.296,0.117,0.0,0.112,0.354,173.991
Omar Apollo ,Evergreen,2TktkzfozZifbQhXjT6I33,0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029
The Weeknd ,Sidewalks,4h90qkbnW1Qq6pBhoPvwko,0.542,0.72,1,-5.136,0,0.0628,0.147,0.0,0.348,0.623,149.828
Usher ,Yeah!,5rb9QrpfcKFHM1EUbSIurX,0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018
Britney Spears ,Clumsy,5FsOKyrTkbPMLmGEMrkfa0,0.771,0.479,5,-7.122,0,0.133,0.0688,0.0,0.0889,0.363,103.934
Ne,Yo  She Knows,7seTcUFOhn5caSDbiSfsp0,0.706,0.572,8,-5.799,0,0.0326,0.0262,0.0,0.585,0.574,139.982
Offset ,How Did I Get Here,32iPykTXUNZ9oGyACGUybq,0.883,0.544,2,-7.92,1,0.233,0.507,1.6e-06,0.08,0.114,129.993
Rosa Walton ,I Really Want to Stay at Your House,7mykoq6R3BArsSpNDjFQTm,0.49,0.738,3,-7.399,0,0.0367,0.00237,4.58e-06,0.0851,0.126,124.966
Gucci Mane ,Big Booty,3gTK8TzE4on9Xe05QlVIFI,0.826,0.767,1,-3.892,1,0.215,0.0308,0.0,0.113,0.436,159.973
Zach Bryan ,Summertime Blues,0qoSVsQJOTINFkkux2lbJj,0.552,0.411,1,-7.946,1,0.0434,0.794,3.5e-06,0.248,0.501,78.095
Deorro ,Five More Hours  Deorro x Chris Brown,4D1MVflhszcSfTb4Jxnrjy,0.778,0.532,7,-10.301,0,0.0814,0.185,0.0,0.472,0.824,127.951
Megan Thee Stallion ,Diamonds,0PQsrLxPbOBBwwmXCnGvcF,0.785,0.753,1,-3.841,1,0.0873,0.188,1.01e-06,0.265,0.488,94.012
Miley Cyrus ,Party Up The Street,7CVKdxcywAgQHjVv8lzG9p,0.745,0.615,1,-7.325,1,0.0713,0.41,0.00636,0.438,0.305,100.986
Lil Yachty ,Harley,2hfuZh5FuIOFMoUPU01fjv,0.717,0.595,7,-5.275,1,0.0462,0.00312,0.0,0.169,0.217,143.04
Taylor Swift ,Welcome To New York,1hR8BSuEqPCCZfv93zzzz9,0.761,0.607,7,-4.83,1,0.0312,0.00961,2.24e-05,0.367,0.674,116.98
Logic ,Mama/Show Love,760VYgBLbNyEJp4jLa0CZ6,0.574,0.823,0,-4.322,0,0.124,0.116,0.0,0.0898,0.256,154.053
Taylor Swift ,Paris,7712gjoih4QoDbXpljEk21,0.7,0.509,7,-10.547,1,0.0789,0.112,3.27e-05,0.137,0.345,110.947
Rihanna ,Sex With Me,7BiELrM90hRxpozaIXbsLw,0.58,0.532,1,-5.668,0,0.0424,0.294,0.0,0.0948,0.39,112.049
Carolina Gaitán ,La Gaita  We Don't Talk About Bruno,52xJxFP6TqMuO4Yt0eOkMz,0.577,0.45,0,-8.516,0,0.0834,0.357,0.0,0.111,0.83,205.863
Twenty One Pilots ,Morph,01vv2AjxgP4uUyb8waYO5Y,0.734,0.607,8,-7.249,0,0.0806,0.0747,0.000577,0.0968,0.518,90.023
Twenty One Pilots ,Bandito,5INKIG4QNuD4xq7qZcfPzp,0.661,0.52,11,-8.367,0,0.028,0.256,0.0246,0.105,0.427,127.089
Young Dolph ,100 Shots,3TXy6nchgKeYlVwOKNk9lE,0.798,0.668,8,-5.244,1,0.25,0.135,4.6e-06,0.0583,0.154,134.006
LANY ,ex i never had,1NAyq9TrQIpLHWStUX4xAQ,0.65,0.388,10,-7.065,1,0.0332,0.306,0.0,0.114,0.628,96.001
Lizzo ,The Sign,7GSwmKxanoWEdpurOCldDe,0.705,0.93,0,-3.388,0,0.0932,0.242,0.0,0.156,0.759,78.971
Pop Smoke ,Dior,79s5XnCN4TJKTVMSmOx8Ep,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094
Jack Harlow ,First Class,0wHFktze2PHC5jDt3B17DC,0.902,0.582,5,-5.902,0,0.109,0.111,3.18e-06,0.111,0.332,107.005
Migos ,Need It,1cMMVJ4FDqhCci9efd1BU6,0.852,0.747,11,-3.666,0,0.169,0.0311,0.0,0.0789,0.898,148.005
blackbear ,anxiety,7AhlMDKQelsNkWvFeZvmtC,0.652,0.715,0,-5.919,1,0.0388,0.0291,0.0,0.156,0.617,97.981
Summer Walker ,Constant Bullshit,1luvsaicSpNDRLgOtRZxWO,0.438,0.54,4,-9.456,0,0.0519,0.223,0.0,0.141,0.389,118.581
Calvin Harris ,Over Now,58AGoOGbwsQMhBbH0eFLRR,0.612,0.884,4,-4.113,0,0.0454,0.0759,0.00132,0.247,0.679,178.043
