Artists,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Taylor Swift ,Come Back...Be Here (Taylor's Version),4pNApnaUWAL2J4KO2eqokq,0.46,0.632,4,-6.031,1,0.0302,0.0158,0.0,0.0822,0.399,79.846
Nicki Minaj ,Bed,3L4GsGLgxpHieVQH86H8bv,0.757,0.73,7,-6.304,1,0.185,0.0342,5.87e-05,0.136,0.452,90.013
Harry Styles ,Daylight,51Zw1cKDgkad0CXv23HCMU,0.686,0.445,0,-7.189,1,0.0398,0.484,0.00144,0.175,0.626,145.5
Eminem ,Favorite Bitch,2KBRNUt33CrlaFPEz4bQYs,0.626,0.835,1,-5.842,1,0.319,0.0331,0.0,0.345,0.681,172.063
Florence + The Machine ,Sky Full Of Song,64fzn2ewOdSH57wrxTPGov,0.533,0.32,8,-8.819,1,0.0316,0.731,1.65e-05,0.154,0.291,98.036
The Weeknd ,I Feel It Coming,3dhjNA0jGA8vHBQ1VdD6vV,0.773,0.819,0,-5.946,0,0.118,0.428,0.0,0.0679,0.585,92.987
Big Sean ,Friday Night Cypher,2kY2ROHIGdp3aA6ahqaUKm,0.584,0.658,1,-6.537,1,0.377,0.0906,0.0,0.0694,0.381,89.387
Drake ,Madonna,4v7SAP4KD96BFLWiCd1vF0,0.905,0.492,2,-8.598,1,0.0595,0.0149,3.77e-05,0.371,0.142,110.017
$uicideboy$ ,"No Matter Which Direction I'm Going In, I Never Chase These Hoes",3wGT3OycqbsHFjIKMZ8EEq,0.751,0.768,1,-4.594,1,0.0976,0.0811,0.000317,0.205,0.384,150.005
Dustin Lynch ,Thinking 'Bout You,5eUpUFdFaAeovPau6lQkqK,0.364,0.745,8,-3.293,1,0.0596,0.146,0.0,0.0887,0.785,203.912
Kanye West ,Ghost Town,7vgTNTaEz3CsBZ1N4YQalM,0.573,0.545,7,-4.247,0,0.0288,0.0969,0.0,0.329,0.297,83.378
"Tyler, The Creator ",Droppin' Seeds,39u2PsqrAZpZ0KPx6CjasV,0.401,0.532,5,-11.554,0,0.508,0.103,0.0,0.478,0.413,84.777
Ella Mai ,Trip,6CTWathupIiDs7U4InHnDA,0.477,0.61,11,-5.628,0,0.144,0.225,0.0,0.107,0.358,79.882
Kendrick Lamar ,untitled 05 | 09.21.2014.,3V8vWoCbKbfjNrPaQ4YtSg,0.461,0.62,0,-9.822,1,0.496,0.321,0.0,0.151,0.422,153.941
Machine Gun Kelly ,sid & nancy,3lzVf5nFSdH0RYivtf9V6C,0.579,0.792,6,-5.499,0,0.0326,0.000404,0.0,0.207,0.637,125.033
Flo Rida ,"I Don't Like It, I Love It",2S5LNtRVRPbXk01yRQ14sZ,0.854,0.766,9,-4.697,0,0.141,0.0242,0.0,0.0793,0.784,118.004
The Weeknd ,Can't Feel My Face,22VdIZQfgXJea34mQxlt81,0.705,0.769,9,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949
YG ,FTP,2RBsmtiaD90yNFtqkFjBVW,0.768,0.506,11,-8.749,0,0.236,0.0136,3.95e-05,0.349,0.395,99.978
Afrojack ,SummerThing!,1KcnJTiXJXAqW5bB7zpkBC,0.707,0.782,0,-5.463,1,0.0613,0.0541,0.0,0.297,0.79,130.036
Future ,CHICKENS,53wBhj706wDMNuBj4FJ0RI,0.862,0.619,11,-6.197,0,0.221,0.0403,0.0,0.253,0.624,148.059
Khalid ,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,0.799,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.948
Post Malone ,Ball For Me,6IaieqiCVvsNvEt6Y7yOFa,0.797,0.55,9,-4.166,1,0.24,0.513,0.0,0.0786,0.543,134.206
Drake ,Company,6ImxYXeLDQPIv4qo7bMhSk,0.651,0.55,7,-8.215,1,0.0496,0.0403,0.0,0.165,0.119,107.567
Katy Perry ,California Gurls,6KOEK6SeCEZOQkLj5M1PxH,0.788,0.753,0,-3.71,1,0.0536,0.0038,0.0,0.18,0.403,125.005
Nicki Minaj ,Best I Ever Had Remix,6DzTaNNwdUXiJI1l0u6wNe,0.4,0.874,8,-2.698,1,0.281,0.232,0.0,0.16,0.647,160.794
A Boogie Wit da Hoodie ,Me and My Guitar,6cZH4rX1KTt1aJ3Ql6Ynja,0.644,0.587,7,-6.736,0,0.353,0.473,0.0,0.0759,0.68,173.972
Lil Uzi Vert ,Venetia,3BYIzNZ3t9lRQCACXSMLrT,0.775,0.757,9,-4.139,1,0.175,0.162,0.0,0.148,0.562,142.933
Galantis ,Bones,1pfgsjmxVZhoZpeDx6POKv,0.658,0.804,0,-5.735,1,0.0377,0.00463,0.0,0.178,0.508,120.047
Trippie Redd ,Kid That Kidd,4zwSuVPORpri4LYy50J3J7,0.618,0.4,1,-9.776,1,0.0734,0.000235,0.0,0.738,0.133,75.047
Beyoncé ,SUMMER RENAISSANCE,3HyR1j49TY5ACP2lseF1jx,0.674,0.625,1,-9.593,1,0.0514,0.0843,0.0015,0.11,0.208,120.004
Nas ,The Pressure,3YzxXVNHGZF09eGqhsYuHI,0.573,0.88,4,-5.326,1,0.427,0.0783,0.0,0.123,0.377,169.879
Agust D ,Strange,5sF4GOOSRELn8zn6DDGzUP,0.627,0.662,7,-8.121,1,0.203,0.00236,0.0,0.157,0.207,90.008
M City JR ,Addicted to My Ex,5NuhZIx47GxB5DAXg8jWHN,0.83,0.5,1,-6.597,1,0.0725,0.0889,0.000349,0.277,0.0491,140.009
Miley Cyrus ,Angels Like You,1daDRI9ahBonbWD8YcxOIB,0.672,0.642,5,-4.035,1,0.0313,0.0981,0.0,0.1,0.494,121.981
Luke Bryan ,"Huntin', Fishin' And Lovin' Every Day",0dbzWSYpMcRtwjI1S7Pkql,0.543,0.81,0,-4.275,1,0.0368,0.14,1.23e-05,0.145,0.395,76.978
Summer Walker ,Circus,2vdposMtmLoanI0pflut4F,0.506,0.601,0,-8.647,0,0.0975,0.638,0.0,0.129,0.648,74.111
Young Thug ,Recognize Real,2wSWcyp4Z8ObUaqlNMGd5h,0.508,0.257,5,-14.564,1,0.0659,0.887,0.0,0.0984,0.638,82.881
Meat Loaf ,Bat Out of Hell,3mCeeoBvTTpg8Xy2Wuvirw,0.204,0.837,5,-7.618,1,0.0676,0.281,0.00405,0.291,0.392,171.514
Chris Stapleton ,Might As Well Get Stoned,0DBYW9lHjTTz55gIt63IB9,0.569,0.571,2,-8.393,1,0.0311,0.146,0.0304,0.155,0.635,121.698
Lil Baby ,Perfect Timing,0BBaLX0AEwUCmsJyI5eJ6U,0.643,0.492,1,-7.314,1,0.382,0.0349,0.0,0.133,0.117,156.784
Internet Money ,Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],3EFmAlc39MoI1gDIb995Bc,0.832,0.549,1,-8.259,0,0.0602,0.168,0.0,0.11,0.384,140.045
Taylor Swift ,The Best Day (Taylor’s Version),6ON9UuIq49xXY9GPmHIYRp,0.642,0.576,1,-8.524,1,0.0282,0.488,0.0,0.159,0.469,125.0
BIA ,WHOLE LOTTA MONEY,67G6iaOw8DZqp1z8STR89R,0.893,0.463,1,-5.301,1,0.36,0.199,0.0,0.318,0.591,81.026
Florida Georgia Line ,Long Live,0YfRAYTNTNszGg8VARrSIH,0.611,0.846,7,-3.548,1,0.0374,0.178,0.0,0.12,0.544,129.961
Nevada ,The Mack,2fUZ3aMp8amSaV0mp8s6rQ,0.711,0.882,0,-4.276,1,0.0576,0.0626,0.0,0.226,0.56,106.017
Rod Wave ,Shock Da World,4jKnLOQmIcTD72hfa9CdyG,0.694,0.531,1,-10.264,1,0.139,0.0213,2.04e-06,0.106,0.547,81.946
